parent,service,launchDate,subscribers,area
"Netflix, Inc.",Netflix,1997,167.00,Worldwide
Amazon,Prime Video,2006,100.00,Worldwide
The Walt Disney Company,Hulu,2007,30.40,"USA, Japan"
The Walt Disney Company,Disney+,2007,28.60,"USA, Japan"
The Walt Disney Company,ESPN+,2007,3.50,"USA, Japan"
ViacomCBS,CBS All Access,2014,10.00,"United States, Canada, Australia"
WarnerMedia Entertainment,HBO Now,2015,8.00,United States
ABS-CBN Corporation,iWant,2010,13.00,Philippines
Viz Media Europe,Crunchyroll,2006,2.00,Area count not available
iflix Ltd,Iflix,2015,15.00,"Southeast Asia, Pakistan, Sri Lanka, Maldives, Nepal, Bangladesh"
Nine Entertainment,Stan,2015,1.00,Australia
"ITV plc, BBC Studios",BritBox,2017,0.65,"United Kingdom, United States, Canada"
Google,Youtube Premium,2014,20.00,Worldwide
Apple Inc.,Apple TV+,2019,10.00,Worldwide
MultiChoice Group,Showmax,Not Available,0.59,"Africa, Europe, Australia, New Zealand, North America"
